Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;Samhällskontakter;Support Politikerkontakter;;;Bas;Bas;Bas;;;Fast pris per månad;;;;0;Johan Stuart;;;;;
Praktikerservice;Start/avslut journalsystem;Avsluta journalsystem HS;;;Plus;Plus;;;;Fast pris per timme;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Start/avslut journalsystem;Avsluta journalsystem TV;;;;;Plus;;;Fast pris per timme;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Start/avslut journalsystem;Byta journalsystem HS;;;Plus;Plus;;;;Fast pris per timme ;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Start/avslut journalsystem;Byta journalsystem TV;;;;;Plus;;;Fast pris per timme ;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Start/avslut journalsystem;Nyinstallation journalsystem HS;;;Plus;Plus;;;;Fast pris per timme ;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Start/avslut journalsystem;Nyinstallation journalsystem TV;;;;;Plus;;;Fast pris per timme ;;;;0;Tomas Esping;Joen Hägglöf;;;;
Affärsrådgivning;Strategi och affärplanering;Verksamhetsplanering;;;Plus;Plus;Plus;;Stöd till enheter vid framtagande av strategiplan;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Strategi och affärplanering;Uppföljning och analys;;;Plus;Plus;Plus;;Stöd till enheter för deras egen uppföljning av strategi,affärsplan, budget samt därtill hörande mål/nyckeltal;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Strategi och affärplanering;Affärsförhandlling;;;Plus;Plus;Plus;;Förhandla med beställare/kunder om generella affärsvillkor för våra verksamheter. Skapa bra villkor för vår affär genom deltagande i branschråd och andra affärsspecifika organisationer;Fast pris per timme;;;;0;;;;;;
Företagsgemensamt;Strategi och affärsplanering;Affärsplan och budget för koncernen;;;Bas;Bas;Bas;;Leda processen för framtagande av AP och budget för hela koncernen;Fast pris per timme;;;;0;Carina Olsson;;;;;
Praktikerservice;Support journalsystem;Journalsupport FRENDA;;;;;Plus;;;Fast pris per månad;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Support journalsystem;Journalsupport Opus;;;;;Plus;;;Fast pris per månad;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Telefoni;Beställa abonnemang;;;Plus;Plus;Plus;;;Fast pris per styck;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Telefoni;Beställa telefon;;;Plus;Plus;Plus;;;Fast pris per styck;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Telefoni;Support telefoni;;;Plus;Plus;Plus;;;Fast pris per månad;;;;0;Tomas Esping;Joen Hägglöf;;;;
Affärsrådgivning;Tillväxt;Förvärvsstöd;;;Plus;Plus;Plus;;Stöd till enheter med värdering, affärsmässig bedömning, upprättande av avtal mm för förvärvet;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Ökad patientstock;;;Plus;Plus;Plus;;Stöd till  enheter med aktiviteter för ökning av antal patienter ;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Anbud befintlig verksamhet ;;;Plus;Plus;Plus;;Stöd till befintliga enheter med att lägga anbud på befintlig eller ny verksamhet;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Anbud ny verksamhet ;;;Plus;Plus;Plus;;Stöd till nya enheter med anbud på befintlig t eller ny verksamhet;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Re-ackreditering;;;Plus;Plus;Plus;;Stöd vid re-ackreditering av befintlig verksamhet för befintliga enheter;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Ny ackreditering;;;Plus;Plus;Plus;;Stöd vid ackreditering av ny verksamhet för befintlig enhet som vill expandera;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Tillväxt;Investeringsbedömning;;;Plus;Plus;Plus;;Genomfföra analys för att bedöma rimlighet i enheters investeringar samt ansvara för att ärenden behandlas i Kreditgruppen;Fast pris per timme;;;;0;;;;;;
Företagsgemensamt;Tillväxt;Affärsutveckling;;;Bas;Bas;Bas;Anbud och verksamhetsövergång;Projektleder anbudsprocesser i koncernen samt ansvarar kvalitet i övertagande av vunna verksamheter;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Tillväxt;Affärsutveckling;;;Bas;Bas;Bas;Förvärvar och Integrerar verksamhet;Marknadsanalys, förvärvsprocess, Due Dilligens, förhandling,Integrering av ny verksamhet;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Tillväxt;Affärsutveckling;;;Bas;Bas;Bas;Företagsförsäljning;Värdering, förhandling, försäljning;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Tillväxt;Affärsutveckling;;;Bas;Bas;Bas;"Uppstartar nya verksamheter ""Greenfield""";Marknadsanalys, utvärdering, rekrytering, integrering;Fast pris per månad;;;;0;Gunnar Ahlberg;;;;;
Företagsgemensamt;Tillväxt;Investeringskommitté;;;Bas;Bas;Bas;;Leda arbetet med IK, som föreberedelse inför större investeringsärenden/anbud som skall vidare till styrelsen för beslut;Fast pris per månad;;;;0;Carina Olsson;;;;;
Affärsrådgivning;Utbildning;Modernt Ledarskap;Ja;;Plus;Plus;Plus;;Fördjupad ledarskapsutbildning för chefer med några år på nacken (strategi/affärsplanering, marknadsföring, flödesoptimering, affärsekonomi, personligt ledarskap mm);Fast pris per deltagare;;;;0;Klas Wahlström;;;;;
Affärsrådgivning;Utbildning;Klinisk vidareutbildning Tandvård;Ja;;Plus;Plus;Plus;;Tandvårds kurskatalog;Fast pris per deltagare;;;;0;Klas Wahlström;;;;;
Affärsrådgivning;Utbildning;Klinisk vidareutbildning Hälso- och sjukvård;Ja;;Plus;Plus;Plus;;Hälslo- och sjukvårds kurskatalog;Fast pris per deltagare;;;;0;Klas Wahlström;;;;;
Aktieägarskydd;Utbildning;Grundläggande utbildning - lagar och förordningar samt PTJs polcies;Ja;;Bas;Bas;Bas;;Grundläggande utbildning - lagar och förordningar samt PTJs polcies inom kvalitet och miljö, ekononomi och redovisnig, arbetsrätt och arbetsmiljö, strålskydd samt informationssäkerhet;Fast avgift per ägare;;;;0;Klas Wahlström;;;;;
Praktikerservice;Utbildning journalsystem;Utbildning FRENDA;;;-;-;Plus;;;Pris per timme;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Utbildning journalsystem;Utbildning Opus;;;-;-;Plus;;;Pris per timme;;;;0;Tomas Esping;Joen Hägglöf;;;;
Praktikerservice;Utläggshantering;Eurocard;;;Bas;Bas;Bas;;;Fast pris per styck;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Utläggshantering;Reseräkning;;;Bas;Bas;Bas;;;Fast pris per styck;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Utläggshantering;Tilläggsdebitering  - Eurocard med privata inköp;;;Plus;Plus;Plus;;;Fast pris per styck;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Utläggshantering;Tilläggsdebitering  - Utgiftsdagbok med privata inköp;;;Plus;Plus;Plus;;;Fast pris per styck;;;;0;Tomas Esping;Erika Östlund;;;;
Praktikerservice;Utläggshantering;Utgiftsdagbok;;;Bas;Bas;Bas;;;Fast pris per styck;;;;0;Tomas Esping;Erika Östlund;;;;
Affärsrådgivning;Verksamhetstransaktioner;Uppstart av verksamhet;;;Plus;Plus;Plus;;Uppstartsstöd för  nya praktiker med ett paket av alla de tjänster som krävs för att starta en ny enhet (ackreditering, lokal, skyltning, marknadsföring, rekrytering personal, köp av aktier i PTJ, introduktionsprogram för ny chef mm).;Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Verksamhetstransaktioner;Överlåtelse av verksamhet;;;Plus;Plus;Plus;;Stöd vid avyttring av verksamhet med ett paket av tjänster som behövs för en bra överlåtelse, (succesionplan, hitta köpare, värdering, överlåtelseavtal, introduktionsprogram tillträdande praktiker, köp av aktier i PTJ mm);Fast pris per timme;;;;0;;;;;;
Affärsrådgivning;Verksamhetstransaktioner;Avveckling av verksamhet;;;Plus;Plus;Plus;;Stöd vid avveckling av verksamhet till följd av avtalsupphörande eller naturlig avgång genom pension eller upphörande av anställning. ;Fast pris per timme;;;;0;;;;;;
Aktieägarskydd;Verksamhetstransaktioner;Nedläggning av verksamhet;;;Bas;Bas;Bas;;Leda arbetet med att till Ansvarskommitté el VD ta fram underlag för beslut om nedläggning av enhet till följd av olönsamhet, kvalitetsbrister, arbetsrättsbrister, varumärkesrisker etc etc ;Fast avgift per ägare;;;;0;Kajsa Värna;;;;;
Praktikerservice;Juridik;Juridisk verksamhetsrådgivning ;Ja;;Plus;Plus;Plus;Allmän juridisk verksamhetsrådgivning;Allmän rådgivning avseende kostnadsställen vid verksamhetsspecifika frågor och myndighetsrelationer etc. som inte kan hanteras av övriga affärsområden och staber.;Fast pris per timme- minimidebitering;;1500;;0;Mikael Holtzberg;;;;;
Företagsgemensamt;Utbildning;Utbildning HK;Ja;;Bas;Bas;Bas;;Utbildning av personal på HK för att kunna ge bästa möljliga stöd;Fast avgift per månad;;;;0;Klas Wahlström;;;;;
