Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;Fastighet;Tvister lokalfrågor;Ja;;Plus;Plus;Plus;Tvisteärenden hyresnämnden;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Försäkring;Försäkring för anställda;;;Bas;Bas;Bas;Sjukdom, olycksfall m.m.;;Premie ;;;;0;Michael Ringdahl;;;;;
Praktikerservice;Försäkring;Försäkring för egendom;;;Bas;Bas;Bas;Brand, Skadegörelse, Vattten, Inbrott m.m.;;Premie;;;;0;Michael Ringdahl;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Rekrytering ;Rekrytering av medarbetare, chefer till HK. Ta fram, implementera, förvalta/utveckla process och ;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Onboarding ;Onboarding av medarbetare, chefer & praktiker: Ta fram, implementera, förvalta/utveckla process;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Ledarutvärdering;Bakgrundskontroller, tester, ledaranalys;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Medarbetarundersökning;Strategi Utveckling, implementering, utvärdering Projektledning & samordning Handledning;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Lönerevision HK;Utbildning för chefer inför lönerevision Beställ revisions funktionalitet i HR+ Stöd till chefer Uppföljning, statistik;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Mål-och utvecklingsdialog HK;Utbildning av chefer inför M0U-dialog Stöd till chefer ;Fast pris per månad;;;;0;Klas Wahlström;;;;;
Företagsgemensamt;HR;Koncerngemensam HR;Ja;;Bas;Bas;Bas;Facklig förhandling HK;MBL,omorgansiation, uppsägningar, et.c. Inhämta uppdrag till förhandling Kalla till förhandling/ svara på framställan Förbereda förhandling Genomföra förhandling Dokumentera resultat av förh. Kommunicera resultat;Fast pris per månad;;;;0;Klas Wahlström;;;;;
